id,name,email,lifetime_value,successful_payment_count,failed_payment_count,average_payment_delay_days,created_at
CUST-1079,Rahul Gupta,rahul.gupta79@acme.io,9748.91,36,0,4.5,2026-01-31T13:16:03.988755
CUST-1080,Divya Gupta,divya.gupta80@enterprise.org,14863.24,3,1,1.0,2026-07-19T13:16:03.988755
CUST-1081,Swati Mehta,swati.mehta81@yahoo.com,35924.14,44,0,2.6,2026-04-09T13:16:03.988755
CUST-1082,Nitin Kapoor,nitin.kapoor82@outlook.com,46108.34,40,5,3.3,2026-05-07T13:16:03.988755
CUST-1083,Meera Patel,meera.patel83@techcorp.in,11291.21,21,4,3.1,2026-01-18T13:16:03.988755
CUST-1084,Arjun Rao,arjun.rao84@gmail.com,150063.98,42,1,0.5,2026-02-25T13:16:03.988755
CUST-1085,Swati Patel,swati.patel85@techcorp.in,196745.66,24,4,2.0,2026-01-21T13:16:03.988755
CUST-1086,Vikram Trivedi,vikram.trivedi86@enterprise.org,88601.64,28,3,0.6,2026-01-25T13:16:03.988755
CUST-1087,Nitin Mehta,nitin.mehta87@acme.io,48153.56,35,5,1.3,2025-10-27T13:16:03.988755
CUST-1088,Ritu Agarwal,ritu.agarwal88@acme.io,207304.98,39,2,1.5,2026-03-26T13:16:03.988755
CUST-1089,Vikram Kapoor,vikram.kapoor89@acme.io,64746.54,31,4,2.8,2026-01-16T13:16:03.988755
CUST-1090,Siddharth Sharma,siddharth.sharma90@acme.io,213483.44,13,3,1.0,2026-03-19T13:16:03.988755
CUST-1091,Siddharth Kapoor,siddharth.kapoor91@techcorp.in,176790.02,19,4,0.1,2026-04-23T13:16:03.988755
CUST-1092,Vikram Nair,vikram.nair92@enterprise.org,104574.89,37,1,3.1,2025-09-02T13:16:03.988755
CUST-1093,Ritu Agarwal,ritu.agarwal93@gmail.com,27798.07,16,3,3.1,2026-02-23T13:16:03.988755
CUST-1094,Manish Chawla,manish.chawla94@acme.io,140600.87,24,3,4.5,2025-10-21T13:16:03.988755
CUST-1095,Siddharth Chawla,siddharth.chawla95@enterprise.org,116167.59,21,2,1.1,2026-04-22T13:16:03.988755
CUST-1096,Siddharth Patel,siddharth.patel96@enterprise.org,136286.67,13,1,1.1,2025-11-24T13:16:03.988755
CUST-1097,Rahul Kulkarni,rahul.kulkarni97@techcorp.in,151213.73,8,1,1.4,2026-01-26T13:16:03.988755
CUST-1098,Sneha Singh,sneha.singh98@gmail.com,178464.53,10,2,0.3,2026-07-02T13:16:03.988755
CUST-1099,Nisha Singh,nisha.singh99@enterprise.org,236301.96,42,3,0.6,2026-07-23T13:16:03.988755
CUST-1100,Manish Singh,manish.singh100@acme.io,122284.98,23,1,4.3,2026-03-22T13:16:03.988755
CUST-1101,Ritu Patel,ritu.patel101@gmail.com,103173.32,6,4,2.9,2026-07-02T13:16:03.988755
CUST-1102,Amit Mehta,amit.mehta102@techcorp.in,237535.78,7,1,0.6,2025-12-28T13:16:03.988755
CUST-1103,Swati Iyer,swati.iyer103@techcorp.in,60293.35,35,3,2.1,2025-12-15T13:16:03.988755
CUST-1104,Meera Kulkarni,meera.kulkarni104@acme.io,79818.16,41,0,2.8,2026-06-09T13:16:03.988755
CUST-1105,Karan Rao,karan.rao105@outlook.com,166804.89,12,1,0.9,2026-06-21T13:16:03.990767
CUST-1106,Sneha Sharma,sneha.sharma106@acme.io,115373.41,40,3,1.4,2026-04-02T13:16:03.990767
CUST-1107,Meera Singh,meera.singh107@enterprise.org,215603.65,6,5,1.1,2026-03-16T13:16:03.990767
CUST-1108,Manish Rao,manish.rao108@acme.io,33120.19,16,5,0.8,2026-03-15T13:16:03.990767
CUST-1109,Amit Gupta,amit.gupta109@gmail.com,45651.08,21,4,3.4,2025-10-11T13:16:03.990767
CUST-1110,Meera Agarwal,meera.agarwal110@gmail.com,119831.0,21,5,1.9,2026-03-12T13:16:03.990767
CUST-1111,Gaurav Banerjee,gaurav.banerjee111@acme.io,112250.92,40,0,4.0,2026-02-14T13:16:03.990767
CUST-1112,Swati Kapoor,swati.kapoor112@gmail.com,27375.09,45,4,2.7,2026-07-19T13:16:03.990767
CUST-1113,Rahul Kulkarni,rahul.kulkarni113@gmail.com,191961.71,13,3,2.4,2025-12-15T13:16:03.990767
CUST-1114,Rahul Joshi,rahul.joshi114@techcorp.in,111791.82,33,0,2.2,2026-01-01T13:16:03.990767
CUST-1115,Siddharth Reddy,siddharth.reddy115@enterprise.org,30626.97,12,2,1.9,2025-11-18T13:16:03.990767
CUST-1116,Meera Bhat,meera.bhat116@techcorp.in,13990.8,7,2,1.2,2026-05-31T13:16:03.990767
CUST-1117,Arjun Trivedi,arjun.trivedi117@gmail.com,166126.79,36,3,1.9,2026-04-24T13:16:03.990767
CUST-1118,Gaurav Chawla,gaurav.chawla118@techcorp.in,190328.57,42,3,3.4,2026-04-16T13:16:03.990767
CUST-1119,Rahul Banerjee,rahul.banerjee119@yahoo.com,232279.83,30,5,2.2,2026-07-15T13:16:03.990767
CUST-1120,Swati Nair,swati.nair120@enterprise.org,43802.65,37,0,2.5,2026-06-12T13:16:03.990767
CUST-1121,Divya Patel,divya.patel121@acme.io,237029.88,43,1,2.3,2026-03-02T13:16:03.990767
CUST-1122,Gaurav Kapoor,gaurav.kapoor122@acme.io,209507.37,32,1,2.1,2026-05-16T13:16:03.990767
CUST-1123,Arjun Rao,arjun.rao123@techcorp.in,129519.02,10,0,1.3,2025-12-29T13:16:03.990767
CUST-1124,Siddharth Trivedi,siddharth.trivedi124@outlook.com,206034.62,20,5,1.4,2025-10-02T13:16:03.990767
CUST-1125,Manish Saxena,manish.saxena125@yahoo.com,114404.11,32,2,1.6,2025-10-24T13:16:03.990767
CUST-1126,Arjun Agarwal,arjun.agarwal126@outlook.com,218052.41,17,4,1.8,2025-12-31T13:16:03.990767
CUST-1127,Priya Reddy,priya.reddy127@enterprise.org,120879.18,26,3,4.4,2025-08-30T13:16:03.990767
CUST-1128,Amit Saxena,amit.saxena128@gmail.com,35930.34,39,2,3.9,2025-12-16T13:16:03.990767
CUST-1129,Ananya Trivedi,ananya.trivedi129@acme.io,8760.16,11,3,3.9,2026-05-11T13:16:03.990767
CUST-1130,Vikram Saxena,vikram.saxena130@outlook.com,87947.5,27,5,0.5,2026-02-11T13:16:03.990767
CUST-1131,Nisha Bhat,nisha.bhat131@outlook.com,158565.8,33,4,0.3,2026-06-24T13:16:03.990767
CUST-1132,Divya Singh,divya.singh132@yahoo.com,187957.76,29,0,3.4,2026-06-08T13:16:03.990767
CUST-1133,Nitin Joshi,nitin.joshi133@enterprise.org,78369.19,3,0,1.5,2026-07-01T13:16:03.990767
CUST-1134,Meera Chawla,meera.chawla134@outlook.com,110518.26,17,4,1.9,2026-04-28T13:16:03.990767
CUST-1135,Sneha Joshi,sneha.joshi135@gmail.com,154325.49,26,4,3.1,2025-11-17T13:16:03.990767
CUST-1136,Manish Mehta,manish.mehta136@yahoo.com,117981.73,18,3,1.2,2026-07-25T13:16:03.990767
CUST-1137,Nitin Singh,nitin.singh137@enterprise.org,138916.54,6,3,4.3,2025-10-02T13:16:03.990767
CUST-1138,Meera Deshmukh,meera.deshmukh138@enterprise.org,66274.06,21,1,4.5,2025-11-24T13:16:03.990767
CUST-1139,Ananya Nair,ananya.nair139@acme.io,145121.06,38,2,4.5,2026-02-28T13:16:03.990767
CUST-1140,Rohan Bhat,rohan.bhat140@outlook.com,6984.0,45,5,4.4,2025-09-22T13:16:03.990767
CUST-1141,Ritu Singh,ritu.singh141@yahoo.com,153730.92,24,1,2.9,2025-09-15T13:16:03.990767
CUST-1142,Rahul Mehta,rahul.mehta142@enterprise.org,28805.16,42,5,0.3,2025-12-16T13:16:03.990767
CUST-1143,Priya Kulkarni,priya.kulkarni143@outlook.com,184428.14,7,2,1.5,2025-12-29T13:16:03.990767
CUST-1144,Sneha Rao,sneha.rao144@yahoo.com,197695.64,25,4,2.3,2026-03-12T13:16:03.990767
CUST-1145,Sneha Kapoor,sneha.kapoor145@acme.io,242009.1,20,5,3.9,2026-06-01T13:16:03.990767
CUST-1146,Nitin Gupta,nitin.gupta146@yahoo.com,189767.12,16,5,3.3,2026-01-07T13:16:03.990767
CUST-1147,Nisha Chawla,nisha.chawla147@gmail.com,198717.08,2,2,2.5,2025-12-09T13:16:03.990767
CUST-1148,Pooja Kapoor,pooja.kapoor148@techcorp.in,98351.25,42,2,0.6,2026-04-01T13:16:03.990767
CUST-1149,Ritu Sharma,ritu.sharma149@techcorp.in,221637.54,37,2,4.1,2026-04-07T13:16:03.990767
CUST-1150,Vikram Agarwal,vikram.agarwal150@enterprise.org,79036.59,28,0,0.7,2026-07-10T13:16:03.990767
CUST-1151,Meera Saxena,meera.saxena151@gmail.com,28812.04,36,1,1.8,2026-01-21T13:16:03.990767
CUST-1152,Nisha Deshmukh,nisha.deshmukh152@techcorp.in,186855.91,11,3,3.0,2025-11-21T13:16:03.990767
CUST-1153,Swati Deshmukh,swati.deshmukh153@outlook.com,13015.49,25,1,2.1,2026-03-31T13:16:03.990767
CUST-1154,Pooja Patel,pooja.patel154@enterprise.org,94997.06,43,2,0.4,2026-03-10T13:16:03.990767
CUST-1155,Karan Patel,karan.patel155@acme.io,27459.99,15,5,2.9,2026-07-19T13:16:03.990767
CUST-1156,Priya Reddy,priya.reddy156@yahoo.com,247261.12,38,1,0.4,2025-10-19T13:16:03.990767
CUST-1157,Karan Kulkarni,karan.kulkarni157@yahoo.com,204197.98,16,2,3.5,2025-09-27T13:16:03.990767
CUST-1158,Rohan Kapoor,rohan.kapoor158@yahoo.com,246944.19,36,2,3.6,2026-06-03T13:16:03.990767
CUST-1159,Rohan Mehta,rohan.mehta159@gmail.com,92769.36,17,4,1.5,2026-05-01T13:16:03.990767
CUST-1160,Rahul Verma,rahul.verma160@yahoo.com,186720.92,35,0,3.4,2025-11-28T13:16:03.990767
CUST-1161,Nitin Chawla,nitin.chawla161@techcorp.in,150448.17,30,4,1.1,2025-09-18T13:16:03.990767
CUST-1162,Priya Trivedi,priya.trivedi162@outlook.com,117220.42,3,0,4.5,2026-01-05T13:16:03.990767
CUST-1163,Kavya Patel,kavya.patel163@acme.io,179538.32,30,0,4.1,2026-02-15T13:16:03.990767
CUST-1164,Swati Mehta,swati.mehta164@gmail.com,35916.94,41,5,2.7,2026-02-13T13:16:03.990767
CUST-1165,Arjun Iyer,arjun.iyer165@techcorp.in,77249.95,34,4,2.0,2026-06-01T13:16:03.990767
CUST-1166,Nisha Rao,nisha.rao166@acme.io,115630.95,16,3,1.6,2025-12-09T13:16:03.990767
CUST-1167,Arjun Deshmukh,arjun.deshmukh167@enterprise.org,28296.03,29,2,3.0,2026-01-19T13:16:03.990767
CUST-1168,Amit Saxena,amit.saxena168@gmail.com,27350.07,7,0,2.0,2026-01-20T13:16:03.990767
CUST-1169,Amit Banerjee,amit.banerjee169@gmail.com,148683.95,37,4,1.6,2026-05-28T13:16:03.990767
CUST-1170,Kavya Chawla,kavya.chawla170@enterprise.org,235576.82,29,5,0.3,2026-03-04T13:16:03.990767
CUST-1171,Swati Singh,swati.singh171@outlook.com,30382.14,34,1,0.8,2025-11-25T13:16:03.990767
CUST-1172,Divya Patel,divya.patel172@outlook.com,212116.49,25,0,3.5,2025-10-09T13:16:03.990767
CUST-1173,Divya Deshmukh,divya.deshmukh173@techcorp.in,243763.92,41,4,3.1,2025-10-17T13:16:03.990767
CUST-1174,Rohan Iyer,rohan.iyer174@enterprise.org,208217.89,19,0,0.9,2026-02-21T13:16:03.990767
CUST-1175,Siddharth Chawla,siddharth.chawla175@gmail.com,49444.36,11,4,3.0,2026-06-24T13:16:03.990767
CUST-1176,Amit Sharma,amit.sharma176@gmail.com,187797.38,15,3,1.9,2026-02-05T13:16:03.990767
CUST-1177,Sneha Chawla,sneha.chawla177@outlook.com,181791.01,38,4,0.5,2026-07-03T13:16:03.990767
CUST-1178,Amit Joshi,amit.joshi178@techcorp.in,17191.81,7,2,2.0,2025-12-24T13:16:03.990767
CUST-1179,Ritu Iyer,ritu.iyer179@acme.io,106475.02,15,4,0.6,2025-12-21T13:16:03.990767
CUST-1180,Ananya Singh,ananya.singh180@enterprise.org,171229.13,33,4,3.0,2026-07-06T13:16:03.990767
CUST-1181,Divya Bhat,divya.bhat181@techcorp.in,18421.58,15,2,4.3,2026-05-20T13:16:03.990767
CUST-1182,Rahul Singh,rahul.singh182@outlook.com,34396.16,33,5,2.0,2026-05-24T13:16:03.990767
CUST-1183,Arjun Banerjee,arjun.banerjee183@enterprise.org,61377.13,37,5,3.6,2026-06-23T13:16:03.990767
CUST-1184,Arjun Verma,arjun.verma184@acme.io,9591.68,6,2,2.6,2025-10-09T13:16:03.990767
CUST-1185,Arjun Deshmukh,arjun.deshmukh185@outlook.com,33217.48,3,2,0.9,2025-09-16T13:16:03.990767
CUST-1186,Nitin Chawla,nitin.chawla186@gmail.com,111994.39,8,1,2.0,2026-01-05T13:16:03.990767
CUST-1187,Gaurav Gupta,gaurav.gupta187@acme.io,218278.48,23,1,1.6,2026-05-04T13:16:03.990767
CUST-1188,Vikram Trivedi,vikram.trivedi188@enterprise.org,32936.53,34,1,4.1,2026-02-01T13:16:03.990767
CUST-1189,Pooja Mehta,pooja.mehta189@yahoo.com,30187.11,18,1,0.9,2026-05-12T13:16:03.990767
CUST-1190,Vikram Joshi,vikram.joshi190@enterprise.org,126058.67,38,4,2.1,2025-10-13T13:16:03.990767
CUST-1191,Swati Reddy,swati.reddy191@enterprise.org,82454.03,30,0,2.2,2025-09-09T13:16:03.990767
CUST-1192,Meera Kapoor,meera.kapoor192@techcorp.in,18762.17,34,0,1.5,2025-12-10T13:16:03.990767
CUST-1193,Priya Verma,priya.verma193@outlook.com,208765.67,6,5,3.9,2026-06-13T13:16:03.990767
CUST-1194,Swati Iyer,swati.iyer194@techcorp.in,99198.21,39,4,4.3,2026-07-08T13:16:03.990767
CUST-1195,Nitin Kulkarni,nitin.kulkarni195@enterprise.org,51118.67,40,3,2.3,2026-06-28T13:16:03.990767
CUST-1196,Nitin Patel,nitin.patel196@outlook.com,245684.47,7,4,2.9,2026-07-09T13:16:03.990767
CUST-1197,Divya Agarwal,divya.agarwal197@acme.io,133396.8,41,1,1.7,2026-03-07T13:16:03.990767
CUST-1198,Arjun Deshmukh,arjun.deshmukh198@outlook.com,171329.94,5,5,2.9,2026-06-26T13:16:03.990767
CUST-1199,Siddharth Patel,siddharth.patel199@techcorp.in,171202.94,20,2,3.3,2025-09-24T13:16:03.990767
CUST-1200,Amit Reddy,amit.reddy200@gmail.com,147771.18,11,2,1.5,2025-08-28T13:16:03.990767
CUST-1201,Arjun Mehta,arjun.mehta201@techcorp.in,178664.33,7,2,2.6,2025-09-03T13:16:03.990767
CUST-1202,Siddharth Mehta,siddharth.mehta202@enterprise.org,177193.56,45,4,0.5,2025-12-25T13:16:03.990767
CUST-1203,Gaurav Chawla,gaurav.chawla203@gmail.com,93836.43,13,1,1.6,2025-11-23T13:16:03.990767
CUST-1204,Karan Nair,karan.nair204@yahoo.com,42961.57,20,0,2.3,2025-10-26T13:16:03.990767
CUST-1205,Gaurav Verma,gaurav.verma205@enterprise.org,87507.27,41,1,2.7,2026-05-12T13:16:03.990767
CUST-1206,Sneha Joshi,sneha.joshi206@enterprise.org,193918.96,12,5,2.0,2025-12-31T13:16:03.990767
CUST-1207,Pooja Nair,pooja.nair207@acme.io,154595.88,30,1,2.4,2026-02-21T13:16:03.990767
CUST-1208,Ritu Rao,ritu.rao208@outlook.com,171185.17,38,3,2.1,2026-03-07T13:16:03.990767
CUST-1209,Arjun Trivedi,arjun.trivedi209@techcorp.in,107571.9,12,1,3.6,2026-05-20T13:16:03.990767
CUST-1210,Rahul Verma,rahul.verma210@enterprise.org,122744.71,25,4,4.2,2025-11-07T13:16:03.990767
CUST-1211,Ananya Singh,ananya.singh211@gmail.com,191963.62,19,3,4.1,2026-05-15T13:16:03.990767
CUST-1212,Kavya Gupta,kavya.gupta212@yahoo.com,205092.3,24,0,1.9,2026-01-08T13:16:03.990767
CUST-1213,Gaurav Chawla,gaurav.chawla213@yahoo.com,99610.7,7,2,1.1,2026-02-16T13:16:03.990767
CUST-1214,Ananya Reddy,ananya.reddy214@yahoo.com,38711.9,20,3,3.2,2026-05-19T13:16:03.992776
CUST-1215,Ritu Agarwal,ritu.agarwal215@techcorp.in,6286.54,7,0,1.2,2026-05-14T13:16:03.992776
CUST-1216,Nisha Iyer,nisha.iyer216@techcorp.in,108697.42,20,1,1.4,2026-07-05T13:16:03.992776
CUST-1217,Divya Deshmukh,divya.deshmukh217@enterprise.org,199505.28,31,0,0.6,2025-11-16T13:16:03.992776
CUST-1218,Swati Banerjee,swati.banerjee218@gmail.com,159828.96,38,1,3.3,2026-03-02T13:16:03.992776
CUST-1219,Kavya Sharma,kavya.sharma219@techcorp.in,91439.93,38,3,0.9,2026-06-16T13:16:03.992776
CUST-1220,Gaurav Chawla,gaurav.chawla220@gmail.com,238583.9,36,4,3.6,2025-11-12T13:16:03.992776
CUST-1221,Nisha Sharma,nisha.sharma221@acme.io,218966.2,4,5,1.8,2026-01-19T13:16:03.992776
CUST-1222,Rahul Sharma,rahul.sharma222@outlook.com,198187.4,24,1,3.3,2025-09-11T13:16:03.992776
CUST-1223,Ananya Kulkarni,ananya.kulkarni223@enterprise.org,190386.34,10,0,1.7,2026-02-06T13:16:03.992776
CUST-1224,Sneha Agarwal,sneha.agarwal224@enterprise.org,122240.14,13,1,0.4,2025-12-07T13:16:03.992776
CUST-1225,Priya Singh,priya.singh225@yahoo.com,15732.54,14,0,1.5,2026-02-21T13:16:03.992776
CUST-1226,Gaurav Bhat,gaurav.bhat226@techcorp.in,120982.94,4,5,0.9,2026-01-28T13:16:03.992776
CUST-1227,Priya Reddy,priya.reddy227@outlook.com,35496.38,25,3,4.0,2025-12-16T13:16:03.992776
CUST-1228,Arjun Reddy,arjun.reddy228@yahoo.com,126569.79,33,2,4.2,2025-11-06T13:16:03.992776
CUST-1229,Rahul Gupta,rahul.gupta229@enterprise.org,109002.42,29,4,4.5,2026-04-28T13:16:03.992776
CUST-1230,Nisha Singh,nisha.singh230@outlook.com,30136.49,22,5,1.4,2025-12-13T13:16:03.992776
